Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Time,Air Raids,Lat,Lng
1,26/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,2,unkn,15.552727,48.516388
2,26/03/2015,Capital,Bani Al-Harith,Airport,Sana'a International Airport,Infrastructure,Transport,2,unkn,15.552727,48.516388
3,26/03/2015,Capital,Bani Al-Harith,Al-Sonblah Neighbourhood,Residential Area,Civilian,Residential Area,2,unkn,15.552727,48.516388
4,26/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,3,unkn,15.552727,48.516388
5,26/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,3,unkn,35.838063,38.5375358
6,26/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,4,unkn,15.552727,48.516388
7,26/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,4,unkn,15.552727,48.516388
8,26/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,4,unkn,15.552727,48.516388
9,26/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,unkn,15.5975,44.046111
10,26/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,16,1,15.552727,48.516388
11,26/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,16,1,15.552727,48.516388
12,26/03/2015,Sanaa,Arhab,Al-Farijah,Al-Farijah Military Camp,Military_Security_Target,Military Site,21,unkn,15.5975,44.046111
13,26/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,21,unkn,15.5975,44.046111
14,26/03/2015,Sanaa,Hamdan,Dhila'a,Al-Estiqbal Military Camp,Military_Security_Target,Military Site,21,1,15.552727,48.516388
15,26/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,21,unkn,15.552727,48.516388
16,26/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,21,1,15.552727,48.516388
17,26/03/2015,Dhalie,Al-Dhalie,The City,33rd Armoured Brigade ,Military_Security_Target,Military Site,21,unkn,13.7032564,44.7334536
18,26/03/2015,Dhalie,Qatabah,Murays,Al-Sadrayn Military Camp,Military_Security_Target,Military Site,21,unkn,13.8506865,44.7029603
19,26/03/2015,Hajja,Washhah,-,Haqqah School,Educational_Facility,School,unkn,unkn,15.552727,48.516388
20,26/03/2015,Hajja,Washhah,"Samir, Shammakh mountains",Unknown,Unknown,Unknown,unkn,unkn,15.552727,48.516388
21,26/03/2015,Lahj,Tuban,Al-Anad,Al-Anad Airbase,Military_Security_Target,Military Site,3,unkn,13.257131,44.718924
22,26/03/2015,Lahj,Tuban,Al-Anad,Al-Anad Airbase,Military_Security_Target,Military Site,21,3,13.257131,44.718924
23,26/03/2015,Saada,Haydan,Marran,Houses (reportedly belonging to the Houthis leader and his realtives),Political_Tribal,Figure,unkn,2,16.7762818,43.4331702
24,26/03/2015,Saada,Haydan,Maa,Weapons Storage,Military_Security_Target,Weapon storage,unkn,unkn,16.7762818,43.4331702
25,26/03/2015,Saada,Al-Dhaher,Al-Malaheet,Unknown,Unknown,Unknown,unkn,unkn,15.552727,48.516388
26,26/03/2015,Saada,Sa'ada,The City,Sa'ada Airport,Infrastructure,Transport,15,unkn,16.9509413,43.7477743
27,26/03/2015,Saada,Majz,Dhahyan,Unknown,Unknown,Unknown,15,unkn,17.062901,43.59782
28,26/03/2015,Saada,Al-Safra'a,Al-Naqa'ah,Unknown,Unknown,Unknown,15,unkn,15.11806,48.19429
29,26/03/2015,Saada,Kitaf Wa Al-Boqe'e,Beer Zaid,Badw Tents,Civilian,Residential Area,15,unkn,17.037629,44.1221682
30,26/03/2015,Saada,Al-Dhaher,Al-Marwee,Mountain,Unknown,Unknown,15,1,15.552727,48.516388
31,26/03/2015,Taiz,Salah,-,SSF Camp,Military_Security_Target,Military Site,20,unkn,15.552727,48.516388
32,26/03/2015,Taiz,Al-Taiziyah,-,Taiz Airport,Infrastructure,Transport,20,unkn,15.552727,48.516388
33,26/03/2015,Taiz,Al-Taiziyah,Al-Hawban ,Tariq Air Base,Military_Security_Target,Military Site,20,unkn,15.552727,48.516388
34,27/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
35,27/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,unkn,unkn,35.838063,38.5375358
36,27/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
37,27/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,9,unkn,15.385637,44.1625338
38,27/03/2015,Capital,Bani Al-Harith,Airport,Sana'a International Airport,Infrastructure,Transport,7,unkn,15.552727,48.516388
39,27/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,20,unkn,15.385637,44.1625338
40,27/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,8,unkn,15.552727,48.516388
41,27/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,2,2,15.552727,48.516388
42,27/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,2,unkn,15.552727,48.516388
43,27/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
44,27/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
45,27/03/2015,Sanaa,Bani Matar,Al-Nabi Shu'ayb mountain,Radars Centre,Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
46,27/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,unkn,unkn,15.5975,44.046111
47,27/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
48,27/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,19,unkn,15.552727,48.516388
49,27/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,19,unkn,15.552727,48.516388
50,27/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,20,unkn,15.552727,48.516388
51,27/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,8,unkn,15.5975,44.046111
52,27/03/2015,Sanaa,Sanhan,Al-Sawad,48 hospital,Medical_Facility,Hospital,unkn,unkn,15.552727,48.516388
53,27/03/2015,Abyan,Zinjibar,Wadi Hassan ,Military Convoy,Military_Security_Target,Moving Target (weapons/fighters),23,1,13.1350213,45.3886399
54,27/03/2015,Dhalie,Al-Dhalie,The City,Aboud Military Camp,Military_Security_Target,Military Site,unkn,2,13.7032564,44.7334536
55,27/03/2015,Dhalie,Al-Dhalie,Al-Jarba'a,Al-Jarba'a Military Camp,Military_Security_Target,Military Site,unkn,2,13.7032564,44.7334536
56,27/03/2015,Dhalie,Qatabah,Murays,Al-Sadrayn Military Camp,Military_Security_Target,Military Site,unkn,1,13.8506865,44.7029603
57,27/03/2015,Hudaydah,Al-Salif,Al-Salif port,Air Defence Military Camp,Military_Security_Target,Military Site,4,unkn,15.3131439,42.6881045
58,27/03/2015,Hudaydah,Al-Salif,-,Al-Salif port,Infrastructure,Transport,22,1,15.3131439,42.6881045
59,27/03/2015,Marib,Marib,Safer,49 Air Defence Battalion,Military_Security_Target,Military Site,4,unkn,15.4700312,45.3228575
60,27/03/2015,Marib,Majzar,Mas ,Mas Military Camp,Military_Security_Target,Military Site,unkn,2,15.552727,48.516388
61,27/03/2015,Marib,Marib,Safer,Air Defence Military Site located near the Safer Oil Facility,Military_Security_Target,Military Site,unkn,unkn,15.4700312,45.3228575
62,27/03/2015,Saada,Shada'a,-,Unknown,Unknown,Unknown,2,unkn,15.3694451,44.1910066
63,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,-,131st Infantry Brigade,Military_Security_Target,Military Site,4,unkn,17.037629,44.1221682
64,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,Al-Boqe'e,Al-Boqe'e Market,Civilian,Market place,unkn,unkn,17.037629,44.1221682
65,27/03/2015,Saada,Majz,Dhahyan,Unknown,Unknown,Unknown,unkn,unkn,17.062901,43.59782
66,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,Al-Salim,Unknown,Unknown,Unknown,unkn,unkn,17.037629,44.1221682
67,27/03/2015,Saada,Monabbih,Ozlat Al-Maswad,Civilian's house,Civilian,Residential Area,17,unkn,15.552727,48.516388
68,28/03/2015,Capital,Azal,Noqom,Weapons Storage,Military_Security_Target,Weapon storage,3,unkn,15.3567529,44.1748372
69,28/03/2015,Capital,Al-Wahdah,Hadda,Residence of former Presiden Ali Abdullah Saleh,Political_Tribal,Figure,3,unkn,15.3404108,44.1886345
70,28/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,4,unkn,15.552727,48.516388
71,28/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,unkn,unkn,15.385637,44.1625338
72,28/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,19,unkn,35.838063,38.5375358
73,28/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,24,unkn,15.552727,48.516388
74,28/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
75,28/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,2,5,15.552727,48.516388
76,28/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,19,unkn,15.552727,48.516388
77,28/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,19,unkn,15.552727,48.516388
78,28/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,19,unkn,15.5975,44.046111
79,28/03/2015,Abyan,Khanfir,Shaqrah,115th Infantry Brigade,Military_Security_Target,Military Site,23,unkn,15.552727,48.516388
81,28/03/2015,Amran,Qaflah Odhr,-,Al-Qashlah Military Camp,Military_Security_Target,Military Site,17,3,15.552727,48.516388
82,28/03/2015,Dhamar,Mayfa'at  Ans,Samah,Samah Mlitary Camp,Military_Security_Target,Military Site,1,unkn,14.5298154,44.5878439
83,28/03/2015,Hajja,Abs,-,25th Mechanized Infantry Brigade,Military_Security_Target,Military Site,unkn,unkn,16.0001462,43.1892443
84,28/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,Al-Hudaydah Airport,Infrastructure,Transport,19,unkn,15.552727,48.516388
85,28/03/2015,Hudaydah,Al-Durayhimi,Al-Jabbanah,"Military Airport, Air Defence forces, Radars",Military_Security_Target,Military Site,20,unkn,15.552727,48.516388
86,28/03/2015,Hudaydah,Al-Hudaydah City,Al-Damghah Neighbourhood,Residential Area,Civilian,Residential Area,unkn,unkn,14.7909118,42.9708838
87,28/03/2015,Hudaydah,Bajil,Kilo 7,Coastal Defence Military Camp,Military_Security_Target,Military Site,unkn,unkn,15.0624131,43.2859908
88,28/03/2015,Jawf,Al-Ghayl,-,House (reportedly belonging to an Islah leader Al-Hasan Abkar),Political_Tribal,Figure,unkn,unkn,16.05,43.883333
89,28/03/2015,Marib,Marib,The City,180th Air Defence Military Camp Radars,Military_Security_Target,Military Site,unkn,1,15.4700312,45.3228575
90,28/03/2015,Marib,Marib,Sahn Al-Jin,14th Armoured Brigade,Military_Security_Target,Military Site,17,1,15.4700312,45.3228575
91,28/03/2015,Saada,Sa'ada,Qahzah,Al-Saifi Military Camp,Military_Security_Target,Military Site,unkn,unkn,16.9509413,43.7477743
92,28/03/2015,Saada,Sa'ada,The City,School ,Educational_facility,School,13,unkn,16.9509413,43.7477743
93,28/03/2015,Saada,Sa'ada,The City,Electricity station,Economic_infrastructure,Water & Electricity,13,unkn,16.9509413,43.7477743
94,28/03/2015,Saada,Sa'ada,-,Central jail ,Military_Security_Target,Military Site,16,unkn,16.9509413,43.7477743
95,28/03/2015,Saada,Sa'ada,-,Yemeni Gas Company,Infrastructure,Gov. Compounds,16,unkn,16.9509413,43.7477743
96,28/03/2015,Saada,Al-Dhaher,Al-Malaheet,105th Infantry Brigade (Al-Kamb Military Camp),Military_Security_Target,Military Site,unkn,unkn,15.552727,48.516388
